method,path,statusCode,contextPath
post,/book,200,/bookinfo
post,/fashion,200,/bookinfo
get,/book/{id},200,/bookinfo
get,/book/bookuser/{id},200,/bookinfo
put,/book/{id},200,/bookinfo
delete,/book/{id},200,/bookinfo
get,/getBookByName,200,/bookinfo
post,/review,200,/bookinfo
put,/review/{id},200,/bookinfo
delete,/review/{id},200,/bookinfo
get,/review/{id},200,/bookinfo
post,/user,200,/bookinfo
put,/user/{id},200,/bookinfo
get,/user/{id},200,/bookinfo
delete,/user/{id},200,/bookinfo
post,/vi1/loyalty/earnable-burnable-points,404,/dummy
get,/vi1/loyalty/program/get-loyalty-program,200,/dummy
get,/vi1/loyalty/rewards/get-customer-loyalty,200,/dummy
post,/vi1/loyalty/rewards/load/points,200,/dummy
post,/vi1/loyalty/rewards/process-loyalty-redemption,200,/dummy
get,/vi1/loyalty/rewards/transactions,200,/dummy
post,/vi1/reverse/reverse-loyalty-transaction,200,/dummy
get,/vi1/status/loyalty-transaction-status,404,/dummy
post,/vi1/store/create-store,404,/dummy
get,/vi1/store/store-by-code,200,/dummy
post,/vi1/subscription/create-or-update-customer-loyalty,200,/dummy
post,/vi1/subscription/optout-customer-loyalty,200,/dummy
get,/api/v1/decide-route,200,/java-shopflo
put,/api/v1/merchant-branch-status/{merchantId},401,/java-shopflo
post,/api/v2/migration,200,/java-shopflo
post,/api/v2/migration/transaction-details,200,/java-shopflo
get,/api/v1/account,200,/java-shopflo
post,/api/v1/account,400,/java-shopflo
get,/api/v1/account/{accountId},200,/java-shopflo
patch,/api/v1/account/{accountId},200,/java-shopflo
post,/api/v1/admin/coupon/coupon_rule,400,/java-shopflo
get,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/analytics/code,200,/java-shopflo
get,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/analytics/{couponId},200,/java-shopflo
delete,/api/v1/issuer/{issuerId}/merchant/{merchantId}/confirm/{tempContextId},200,/java-shopflo
post,/api/v1/issuer/{issuerId}/merchant/{merchantId}/confirm/{tempContextId},200,/java-shopflo
get,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon,200,/java-shopflo
post,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon,200,/java-shopflo
patch,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/{couponId}/customer-specific,200,/java-shopflo
post,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/bulk/file,200,/java-shopflo
delete,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/bulk/{bulkCouponJobId},200,/java-shopflo
get,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/bulk/{bulkCouponJobId},200,/java-shopflo
patch,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/bulk/{bulkCouponJobId},200,/java-shopflo
get,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/bulk,200,/java-shopflo
get,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/bulk/{bulkCouponJobId}/subscribe,200,/java-shopflo
patch,/api/v1/issuer/{issuerId}/merchant/{merchantId}/coupon/{couponId}/description,400,/java-shopflo
